url,headline,date
https://www.msnbc.com/top-stories/latest/aysenur-eygi-israel-independent-investigation-west-bank-biden-harris-rcna170828,Top Washington Dems push White House to investigate U.S. citizen's killing in West Bank,2024-09-12
https://www.msnbc.com/top-stories/latest/american-aysenur-egzi-eygi-killed-west-bank-israel-rcna169943,American woman killed in West Bank while protesting Israeli settlements,2024-09-06
https://www.msnbc.com/msnbc-podcast/why-is-this-happening/living-west-bank-sari-bashi-podcast-transcript-rcna125538,Living in the West Bank with Sari Bashi: podcast and transcript,2023-11-16
https://www.msnbc.com/top-stories/latest/desantis-israel-debate-gaza-palestinian-removed-rcna133428,Ron DeSantis has no problem with mass removals of Palestinians from Gaza,2024-01-11
https://www.msnbc.com/opinion/msnbc-opinion/jon-stewart-the-daily-show-israel-palestine-rcna140583,Jon Stewart’s misplaced ‘bothsidesism’ on Israel-Palestine was a flop,2024-02-27
https://www.msnbc.com/opinion/msnbc-opinion/columbia-protests-mike-johnson-national-guard-rcna149329,Why Republicans think the National Guard is a solution to pro-Palestinian protests,2024-04-26
https://www.msnbc.com/top-stories/latest/trump-charlottesville-pro-palestinian-campus-protests-rcna149517,Trump calls deadly rally in Charlottesville a ‘peanut’ next to pro-Palestinian campus protests,2024-04-26
https://www.msnbc.com/top-stories/latest/yale-nyu-columbia-student-protests-rcna148952,"Yale, NYU follow Columbia’s lead with arrests of pro-Palestinian protesters",2024-04-23
https://www.msnbc.com/top-stories/latest/columbia-university-nypd-arrests-protests-rcna148539,Columbia University sicced NYPD on peaceful pro-Palestinian protesters to protect 'campus safety',2024-04-19
https://www.msnbc.com/the-reidout/reidout-blog/trump-pro-palestinian-protesters-rcna154590,Trump’s backroom vow to crush pro-Palestinian protesters is a warning,2024-05-29
https://www.msnbc.com/opinion/msnbc-opinion/pro-palestinian-college-protests-biden-rcna150377,Why the pro-Palestinian college protests have been a success,2024-05-03
https://www.msnbc.com/top-stories/latest/dnc-gaza-kamala-harris-palestinian-uncommitted-rcna167950,Democrats' 'joyful' convention this week made a huge misstep by sidelining pro-Palestinian voices,2024-08-23
https://www.msnbc.com/top-stories/latest/harris-gaza-israel-protests-obama-dreamers-rcna166006,"Why pro-Palestinian protesters are going after Kamala Harris, not Donald Trump",2024-08-09
https://www.msnbc.com/opinion/msnbc-opinion/jill-stein-harris-michigan-gaza-palestinian-rcna174668,Pro-Palestinian efforts to rally behind Jill Stein will backfire,2024-10-16
https://www.msnbc.com/the-reidout/reidout-blog/cornell-suspended-student-visa-israel-protest-boeing-rcna173914,Suspended Cornell student faces a potential exit from U.S. after pro-Palestinian demonstration,2024-10-03
https://www.msnbc.com/the-reidout/reidout-blog/desantis-pro-palestinian-colleges-meet-the-press-rcna122846,DeSantis fumbles question on pro-Palestinian group ban,2023-10-30
https://www.msnbc.com/deadline-white-house/deadline-legal-blog/desantis-ban-palestinian-group-florida-colleges-rcna122169,DeSantis-backed ban on pro-Palestinian group runs into First Amendment,2023-10-25
https://www.msnbc.com/opinion/msnbc-opinion/bassem-youssef-piers-morgan-interview-rcna121076,Bassem Youssef’s jokes challenge the West’s assumptions about Palestinians,2023-10-20
https://www.msnbc.com/the-reidout/reidout-blog/republicans-free-speech-israel-hamas-harvard-rcna121106,Republicans change tune on free speech over pro-Palestinian rallies at colleges,2023-10-19
https://www.msnbc.com/the-reidout/reidout-blog/stabbing-hate-crime-illinois-wadea-al-fayoume-rcna120624,6-year-old boy killed amid a wave of anti-Palestinian rhetoric,2023-10-16
https://www.msnbc.com/opinion/msnbc-opinion/cant-trust-iran-saudi-arabia-israel-hamas-war-rcna119736,Neither Iran nor Saudi Arabia have the Palestinian people’s best interests at heart,2023-10-10
https://www.msnbc.com/opinion/msnbc-opinion/hamas-war-israel-leaders-both-sides-failed-rcna119347,Israeli and Palestinian leaders failed miserably. Their people will pay the price.,2023-10-07
https://www.msnbc.com/top-stories/latest/palestinian-students-shooting-burlington-vermont-rcna126976,Families of Palestinian students who were shot thought they’d be safer in the U.S.,2023-11-28
https://www.msnbc.com/msnbc/msnbc/ron-desantis-students-for-justice-in-palestine-rcna124662,DeSantis said he ‘deactivated’ a Palestinian student group. Not quite.,2023-11-10
https://www.msnbc.com/opinion/msnbc-opinion/nazis-palestinian-rallies-antisemitism-rcna124300,Why neo-Nazi groups are popping up at pro-Palestinian rallies,2023-11-09
https://www.msnbc.com/opinion/msnbc-opinion/israel-palestine-middle-east-war-rcna123244,"As U.S. Jews and Muslims get attacked, I cling to wisdom from my Palestinian father",2023-11-03
https://www.msnbc.com/top-stories/latest/israel-gaza-senate-resolution-bernie-sanders-rcna134279,Senate rejects effort to force a probe on whether Israel violated human rights in Gaza,2024-01-17
https://www.msnbc.com/top-stories/latest/desantis-israel-debate-gaza-palestinian-removed-rcna133428,Ron DeSantis has no problem with mass removals of Palestinians from Gaza,2024-01-11
https://www.msnbc.com/opinion/msnbc-opinion/israel-ethnic-cleansing-voluntary-migration-emigration-ben-gvir-rcna132378,What Israel’s plan to ‘encourage’ migration out of Gaza is actually about,2024-01-07
https://www.msnbc.com/opinion/msnbc-opinion/gaza-food-crisis-unrwa-funding-rcna144963,The U.S. is no longer just complicit in the devastation of Gaza. It’s a participant in it.,2024-03-26
https://www.msnbc.com/opinion/msnbc-opinion/gaza-famine-israel-choices-rcna144075,Famine is always a choice. Gaza is no exception.,2024-03-23
https://www.msnbc.com/opinion/msnbc-opinion/jared-kushner-israel-gaza-real-estate-trump-rcna144352,Jared Kushner’s absurd ideas about Gaza are a preview of Trump’s policies,2024-03-21
https://www.msnbc.com/top-stories/latest/death-toll-children-gaza-israel-rcna143269,More children killed in Gaza in four months than in four years of war globally: report,2024-03-14
https://www.msnbc.com/opinion/msnbc-opinion/biden-state-of-union-gaza-israel-war-funding-rcna142189,Biden has a powerful chance to address Gaza in his State of the Union speech,2024-03-07
https://www.msnbc.com/top-stories/latest/world-central-kitchen-gaza-idf-rcna146010,World Central Kitchen says 7 staff members killed in 'targeted attack by the IDF' in Gaza,2024-04-02
