url,headline,date,
https://nypost.com/2023/11/05/news/blinken-visits-west-bank-to-meet-palestinian-leader-mahmoud-abbas/,              Blinken makes unannounced visit to West Bank to meet Palestinian leader as Israeli airstrikes kill dozens at refugee camps            ,2023-11-05,
https://nypost.com/2023/11/03/news/bidens-100-million-in-aid-to-gaza-west-bank-at-high-risk-of-diversion-to-hamas-ig-says/,"              Biden’s $100M aid to Gaza, West Bank at 'high-risk' of Hamas seizure: watchdog            ",2023-11-03,
https://nypost.com/2023/12/30/news/israel-investigates-reports-of-tunneling-in-west-bank-as-locals-fear-imminent-oct-7-style-attack/,              Israel investigates reports of tunneling in West Bank as locals fear imminent Oct. 7 style attack            ,2023-12-30,
https://nypost.com/2024/01/30/news/moment-israeli-commandos-dressed-as-muslim-women-and-doctors-storm-west-bank-hospital-killing-3-terrorists-in-10-mins/,"              Moment Israeli commandos dressed as Muslim women and doctors storm West Bank hospital, killing 3 terrorists in 10 minutes            ",2024-01-30,
https://nypost.com/2024/01/07/news/palestinian-rioters-vandalize-holy-site-for-jews-and-christians-joshuas-altar/,"              Palestinian rioters vandalize holy site for Jews, Christians in the West Bank            ",2024-01-07,
https://nypost.com/2024/02/23/world-news/antony-blinken-says-new-israeli-west-bank-settlements-are-illegal/,"              Israel's West Bank settlements are illegal, 'weakens' Jewish state's security, Blinken says            ",2024-02-23,
https://nypost.com/2024/02/22/world-news/palestinian-gunmen-shoot-dead-west-bank-motorist-two-terrorists-killed-police/,"              Palestinian gunmen shoot dead West Bank motorist, two assailants killed: police            ",2024-02-22,
https://nypost.com/2024/02/10/news/israeli-parliament-speaker-slams-bidens-counterproductive-sanctions-on-some-west-bank-settlers/,              Israeli parliament speaker calls Biden’s sanctions on some West Bank settlers 'counterproductive': 'It doesn't help anyone'            ,2024-02-10,
https://nypost.com/2024/02/01/news/biden-will-issue-an-executive-order-targeting-israeli-settlers-who-attack-palestinians-in-west-bank/,              Biden slaps sanctions on Israeli settlers accused of West Bank violence            ,2024-02-01,
https://nypost.com/2024/04/21/world-news/israeli-man-caught-by-booby-trap-bomb-after-kicking-down-palestinian-flag-in-the-west-bank/,              Israeli man hurt by booby-trap bomb after kicking down Palestinian flag in West Bank            ,2024-04-21,
https://nypost.com/2024/04/20/world-news/us-to-issue-sanctions-on-israeli-military-unit-for-alleged-human-rights-violations-in-occupied-west-bank-report/,              US to issue sanctions on Israeli military unit for alleged human rights violations in occupied West Bank: report            ,2024-04-20,
https://nypost.com/2024/04/13/world-news/discovery-of-israeli-teens-body-sparks-wave-violent-settler-attacks-in-west-bank/,              Discovery of missing 14-year-old Israeli shepherd's body sparks wave of violent settler attacks in West Bank            ,2024-04-14,
https://nypost.com/2024/04/12/world-news/israel-kills-son-of-hamas-leader-in-west-bank/,              Israel kills son of Hamas leader inside his car in West Bank raid            ,2024-04-12,
https://nypost.com/2024/07/30/us-news/influencer-went-to-the-west-bank-to-see-if-palestinians-support-hamas-and-almost-didnt-make-it-back/,              Influencer went to the West Bank to see if Palestinians support Hamas — and almost didn’t make it back            ,2024-07-30,
https://nypost.com/2024/08/29/world-news/israeli-army-says-it-has-killed-5-more-west-bank-terrorists-including-a-well-known-local-commander/,"              Israeli army says it killed 5 West Bank terrorists hiding in mosque, including well-known local commander            ",2024-08-29,
https://nypost.com/2024/08/28/world-news/israel-launches-a-large-scale-military-operation-in-the-occupied-west-bank-killing-9-palestinians/,"              Israel launches full-blown military operation in West Bank, killing at least 9 Palestinian fighters            ",2024-08-28,
https://nypost.com/2024/08/06/world-news/israel-hamas-war-latest-palestinians-killed-in-west-bank-as-world-leaders-try-to-avoid-regional-war/,              Israel-Hamas war latest: Palestinians killed in West Bank as world leaders try to avoid regional war            ,2024-08-06,
https://nypost.com/2024/09/22/world-news/israel-raids-and-shuts-down-al-jazeeras-bureau-in-the-west-bank/,"              Israeli troops raid, shut down Al Jazeera’s bureau in Ramallah in West Bank            ",2024-09-22,
https://nypost.com/2024/09/20/world-news/israeli-soldiers-pushed-4-apparently-lifeless-bodies-from-roofs-during-a-west-bank-raid/,              Israeli soldiers pushed 4 apparently lifeless bodies from roofs during a West Bank raid            ,2024-09-20,
https://nypost.com/2024/09/16/world-news/watchdogs-offer-1m-for-lgbtq-advocacy-groups-to-host-pride-parade-in-gaza-west-bank/,"              $1M offered to LGBTQ advocacy groups to host Pride parade in Gaza, West Bank            ",2024-09-16,
https://nypost.com/2024/09/08/world-news/west-bank-allenby-bridge-crossing-shooting-attack-kills-three-israelis/,              3 Israelis killed in shooting attack at West Bank-Jordan border crossing            ,2024-09-08,
https://nypost.com/2024/09/07/world-news/family-of-american-woman-killed-after-being-shot-in-the-head-during-west-bank-clash-blames-israel-for-her-death-demands-independent-probe/,"              Family of American woman killed during West Bank clash blames Israel for her death, demands independent probe            ",2024-09-07,
https://nypost.com/2024/09/06/world-news/american-woman-fatally-shot-in-the-west-bank-doctors-say/,"              American woman, 26, dies after getting shot in the head in West Bank            ",2024-09-06,
https://nypost.com/2024/11/13/world-news/incoming-israeli-ambassador-mike-huckabee-says-west-bank-annexation-of-course-a-possibility/,              Incoming ambassador to Israel Mike Huckabee says West Bank annexation 'of course' a possibility            ,2024-11-13,
https://nypost.com/2024/11/05/world-news/israeli-strikes-kill-10-people-in-gaza-and-2-in-the-west-bank/,              Israeli strikes kill 10 people in Gaza and 2 in the West Bank            ,2024-11-05,
