url,headline,date
https: thehill.com policy international 4436964-disguised-israeli-troops-raid-west-bank-hospital ,   Disguised Israeli troops raid West Bank hospital  ,2024-01-30
https: thehill.com homenews administration 4532176-us-sanctions-israelis-west-bank-violence ,"   US unveils sanctions on Israeli individuals, entities for violence in West Bank  ",2024-03-14
https: thehill.com policy international 4591935-missing-israeli-boy-murdered-terrorist-attack-body-found-west-bank-idf ,"   Missing Israeli boy ‘murdered in a terrorist attack,’ body found in West Bank: IDF  ",2024-04-13
https: thehill.com homenews administration 4595067-state-department-west-bank-violence-palestinians-israeli-settlers ,"   State Department condemns West Bank violence between Palestinians, Israeli settlers  ",2024-04-15
https: thehill.com policy international 4605095-us-sanction-israeli-extremists-west-bank ,   US sanctions two groups over fundraising for Israeli extremists in West Bank  ,2024-04-19
https: thehill.com policy international 4708039-us-sanctions-palestinian-group-lions-den ,   US sanctions armed West Bank Palestinian group ‘Lions’ Den’  ,2024-06-06
https: thehill.com policy international 4851304-israel-hamas-broad-raid-west-bank ,   At least 9 killed in broad Israeli West Bank raid  ,2024-08-08
https: thehill.com newsletters health-care 4866789-american-killed-in-west-bank-protests ,   American killed in West Bank protests  ,2024-09-06
https: thehill.com policy international 4866220-us-disturbed-american-activist-killed-west-bank-israel-hamas-war ,   US ‘deeply disturbed’ after American activist killed in West Bank  ,2024-09-06
https: thehill.com policy international 4867592-united-nations-american-killed-west-bank-israel-hamas-war ,   UN seeks probe into death of American activist in West Bank  ,2024-09-07
https: thehill.com policy international 4868917-three-israeli-civilians-killed-at-crossing-between-west-bank-and-jordan ,   Three Israeli civilians killed at crossing between West Bank and Jordan  ,2024-09-08
https: thehill.com homenews administration 4872786-aysenur-ezgi-eygi-west-bank-israel-hamas-gaza-war-biden ,   Partner of activist killed in West Bank pushes back on Biden calling it ‘an accident’  ,2024-09-10
https: thehill.com policy defense 4871279-antony-blinken-american-killed-west-bank-israel-hamas-war ,   Blinken calls for ‘fundamental changes’ after American woman killed in West Bank  ,2024-09-10
https: thehill.com homenews administration 4873682-joe-biden-activist-aysenur-ezgi-eygi ,   Biden says he’s ‘outraged’ by US activist’s West Bank death after pushback on earlier re03ks  ,2024-09-11
https: thehill.com homenews house 4913816-israeli-settlements-west-bank ,   Dems hammer Israel over West Bank settlements: ‘Illegal’ and ‘indefensible’  ,2024-10-04
https: thehill.com homenews 5011923-democrats-west-bank-palestinians-trump ,   Democrats sound alarm on West Bank under Trump administration  ,2024-11-29
https: thehill.com policy international 4256211-state-department-nonessential-personnel-depart-israel ,"   Biden administration authorizes nonessential personnel to depart Israel, West Bank  ",2023-10-14
https: thehill.com homenews administration 4257358-us-working-to-assist-americans-seeking-to-leave-gaza-west-bank ,"   US working to assist Americans seeking to leave Gaza, West Bank  ",2023-10-15
